"","p_t","p_perm","slope"
"63",3.59911414064862e-76,0,2.05837775706312
"64",3.58724098731091e-69,0,1.99560187139463
"65",1.12792479130841e-75,0,2.00276117351192
"66",2.03770509708572e-71,0,1.99198568920186
"67",2.6310288465047e-72,0,1.99632349627349
"68",2.95359801670169e-73,0,1.9252873534942
"69",7.71280305338097e-66,0,1.98478389265604
"70",2.70007254370118e-69,0,1.97822138712256
"71",2.91683382311194e-67,0,1.95647269008688
"72",8.95217594755418e-74,0,1.99101359781057
"73",8.82576113894434e-73,0,1.96157912346016
"74",4.38309368730737e-72,0,2.02004448879536
"75",1.02424863569864e-73,0,2.00251732723271
"76",9.89200706163769e-73,0,2.08990654263853
"77",2.89451588235456e-70,0,2.05256112396784
"78",5.82948102238077e-77,0,1.95837254508582
"79",3.41045352728919e-78,0,1.94400423558361
"80",6.65475642201745e-72,0,2.06049618180148
"81",2.43027312408452e-71,0,1.96520706212209
"82",6.00325760581072e-72,0,2.02156333386726
"83",6.50124776749642e-69,0,1.99679752676165
"84",5.22123077354227e-77,0,2.10490903087952
"85",1.14132656824406e-75,0,2.03100236665939
"86",2.20678049785807e-71,0,2.01260353173816
"87",4.15092116115581e-74,0,1.98150417482132
"88",6.22235590536522e-73,0,1.97996838876556
"89",1.14000966851383e-73,0,1.97902483946865
"90",6.26849618815844e-72,0,1.96944384437204
"91",1.60743327660398e-70,0,2.00864786870851
"92",6.6527174459725e-75,0,1.97043022762429
"93",2.79398121136647e-67,0,1.97227032058932
"94",2.48578088957481e-76,0,2.08208315404229
"95",5.3816536595369e-72,0,2.0033510899037
"96",2.36549884452144e-75,0,2.0116938219747
"97",6.12295325307246e-74,0,2.04229526807169
"98",1.41428997294629e-71,0,2.056415962703
"99",1.56118944156771e-75,0,2.05400367457192
"100",2.55026112098955e-75,0,2.02536008115957
"101",2.33440912395741e-75,0,2.04465642699032
"102",3.81406101642034e-72,0,1.93666345941177
"103",2.10007865657354e-73,0,2.00522824284046
"104",1.35329784336341e-74,0,2.02745313935053
"105",8.27593327851204e-76,0,2.04826541489568
"106",1.39489079051799e-71,0,1.99850346687785
"107",2.54643553206703e-67,0,1.95250822542352
"108",4.67195834873794e-75,0,2.0067562258187
"109",4.96977368852714e-69,0,1.96866961671031
"110",1.42762350289197e-73,0,2.00529040893628
"111",1.89483122108433e-70,0,2.02011063707371
"112",6.63907347360605e-74,0,2.02123094244364
"113",1.12260457850639e-75,0,2.01110964965768
"114",1.83768584560106e-73,0,2.00206285737329
"115",9.11620489158635e-72,0,1.98048763315799
"116",4.01589808785768e-72,0,2.0249786172399
"117",6.4284147392952e-76,0,2.05708281969585
"118",2.08179340725393e-77,0,1.94300073857799
"119",9.38953330110555e-66,0,1.94481566105968
"120",3.44867628033345e-69,0,2.09344340036458
"121",3.8192657219991e-73,0,1.96590912294869
"122",7.53658595343073e-78,0,2.01288901031862
"123",9.19182013239023e-76,0,1.98840219597438
"124",3.21631419077851e-69,0,1.97492036990692
"125",2.42203629780567e-72,0,2.01277689487996
"126",1.50348423909812e-69,0,2.00479487096577
"127",1.73510471125058e-70,0,2.0140193384423
"128",2.14371080771529e-75,0,1.92067027473206
"129",2.220410170595e-69,0,1.99180533704323
"130",6.83594426698193e-69,0,2.00728578941069
"131",1.89167572347432e-72,0,1.97622454178378
"132",7.03373147301837e-73,0,2.0134569007777
"133",6.41077986483926e-77,0,2.02319816548004
"134",1.66144270990775e-78,0,1.9680180749933
"135",1.95811302646909e-72,0,1.91710136804026
"136",1.90356881934155e-68,0,2.03917226999797
"137",5.11555929071695e-67,0,1.97237589693412
"138",5.64692496261939e-71,0,1.91269866017866
"139",1.27600876639325e-68,0,1.96401094728952
"140",8.3176602145297e-68,0,1.98510406723322
"141",1.18928595489804e-65,0,1.97070701271394
"142",3.6974834039173e-75,0,1.986913517121
"143",6.83037777733378e-76,0,2.00032541145341
"144",7.08227088969691e-69,0,1.99674662474399
"145",9.01534952256591e-67,0,1.93006190989878
"146",4.34204773049461e-74,0,1.96854902181384
"147",3.18205851887843e-65,0,1.96484193630144
"148",8.99027812615938e-75,0,1.98741940488548
"149",7.44249964516384e-81,0,1.97754831440722
"150",6.67494145283785e-70,0,1.97054617537296
"151",2.82564709312622e-68,0,1.97849326251547
"152",3.1891533781495e-70,0,2.02630959042395
"153",3.69703354368189e-77,0,1.99321621876565
"154",1.42837920823307e-68,0,2.01673555492719
"155",5.99637019248148e-80,0,1.96977412971328
"156",2.36836553074691e-72,0,2.0017679240994
"157",4.18920632600675e-69,0,1.98555300619596
"158",1.47539325966485e-78,0,2.02928141532919
"159",3.01804378431633e-78,0,2.05221572137961
"160",6.77018279979581e-68,0,1.98484158401198
"161",4.40570424224369e-74,0,1.98969565040057
"162",1.2228062865601e-70,0,2.01171774019702
"163",1.0997274817696e-76,0,2.0343006703825
"164",9.41147004583583e-72,0,1.96789188083858
"165",1.1393758740079e-66,0,1.90147361435607
"166",2.92487647252052e-74,0,1.94179438569422
"167",5.62141853762059e-74,0,1.9907107807174
"168",5.86144166053967e-73,0,1.97809832712342
"169",3.18774515527109e-75,0,1.97484216516444
"170",3.66018342121301e-76,0,1.99014306021426
"171",5.48389921068274e-76,0,1.97674141838924
"172",1.5565182229202e-70,0,2.03872915983738
"173",6.3569453466889e-71,0,1.99968787088481
"174",3.52156466899026e-78,0,1.98159270777624
"175",6.37058585754181e-73,0,2.0178639079868
"176",1.95224392577271e-77,0,2.0381679056193
"177",6.14297748961213e-72,0,1.99596095719523
"178",2.17742936329782e-73,0,2.01890271058717
"179",1.71756249379003e-71,0,1.95581995537217
"180",1.14171391882032e-70,0,1.98241047638684
"181",1.75926122397554e-78,0,2.06796345207839
"182",4.76415150487433e-69,0,2.00773738958453
"183",1.25343777138366e-71,0,2.00503230775202
"184",6.28019928903019e-68,0,2.01239129798424
"185",3.12541621401178e-73,0,2.04241753021479
"186",8.29712519815175e-75,0,1.98138653065809
"187",1.10877310864571e-70,0,2.00866706241634
"188",1.97637848149853e-73,0,1.99695644831866
"189",2.22391633250484e-69,0,1.97725534559535
"190",1.13673975452838e-76,0,1.98971523254886
"191",3.10860994095297e-68,0,2.06981625119705
"192",2.07453043457143e-74,0,2.05594230136448
"193",2.32863952591377e-71,0,2.0000217449849
"194",5.9310380603796e-82,0,2.04649708239584
"195",9.87097116572469e-73,0,2.03738995574689
"196",1.06776734212963e-71,0,2.09105777238812
"197",1.64963428256689e-78,0,1.98300897788864
"198",6.5084708802257e-79,0,2.01955570163912
"199",3.68660084442381e-72,0,2.02425686631001
"200",1.61372727463103e-77,0,2.05781102773277
"201",1.61593163366085e-70,0,1.92658839545786
"202",6.49861539136819e-72,0,1.95126174264338
"203",3.32047000421132e-76,0,2.02153813625742
"204",9.80759281892474e-76,0,1.96725214019343
"205",3.34799137377425e-72,0,1.9875782881959
"206",4.98074763210561e-66,0,1.98550148305128
"207",3.77226354320405e-71,0,1.95693465339441
"208",8.7550516784937e-72,0,2.00249027397032
"209",3.95228374598232e-70,0,2.01995903478744
"210",7.75661468389964e-74,0,1.98497418223943
"211",8.41081838831144e-79,0,1.98295248130068
"212",4.57311655198601e-71,0,1.97811272571566
"213",2.06047639240476e-75,0,1.9752436418368
"214",8.48157280867747e-77,0,2.05141605218951
"215",1.17304977693333e-70,0,1.94758156819392
"216",1.61945169192823e-71,0,1.97523875580213
"217",2.2932409501359e-70,0,2.04605936887177
"218",1.13525387623881e-70,0,1.96759721625572
"219",1.79219896970338e-71,0,1.98697323591961
"220",1.89970911056756e-78,0,1.97428015598556
"221",6.31760100366925e-67,0,2.01028915928978
"222",2.255030171146e-76,0,2.00847202787383
"223",1.18443095213062e-70,0,1.97766664689661
"224",3.40675782175175e-71,0,1.981580513788
"225",6.45228744949589e-73,0,1.9967682898593
"226",1.185934701476e-69,0,2.03588918486392
"227",3.24963835629869e-78,0,1.98348546152608
"228",3.906443609015e-71,0,1.9415208559441
"229",2.24632725882388e-68,0,1.95969722060297
"230",1.00093832444576e-72,0,2.02424332114084
"231",1.01606636701254e-72,0,1.97792224558901
"232",7.29611669772776e-74,0,2.02492880991629
"233",4.43190733865226e-72,0,2.02038234561345
"234",2.13883776935411e-78,0,2.04078211498446
"235",6.7574034830331e-74,0,1.96854602961173
"236",1.59384972189716e-72,0,2.06279360194986
"237",4.54093629594759e-74,0,1.99813807810752
"238",2.79234079901241e-70,0,1.98654232764332
"239",1.12433606034954e-75,0,1.98923666366695
"240",1.0260551076259e-63,0,1.90602637783929
"241",2.45470044774365e-72,0,2.05780203770452
"242",3.04960007595642e-66,0,2.02876391420782
"243",2.22726855542078e-71,0,2.01978270551051
"244",5.66856432382571e-69,0,1.97075837573612
"245",1.86960087769964e-68,0,1.93813515119693
