,ticker,Pct_Change_Dec2007_June_2009,Pct_Change_Dec2009_June_2011
153,AGX,33.02752759137349,-11.764703053857794
154,AGYS,-38.22605944310528,0.4807687899064786
158,AHL,-14.195587265810866,6.262308746790087
160,AHPI,-20.86206893716766,-13.750006208816966
161,AHT,-39.66713178095575,228.33724499356927
162,AI,-82.59259329901802,143.70313305600985
163,AIA,-27.322750999813973,24.71561866045736
166,AIG,-96.92998197819215,4.453152880619682
168,AIMC,-46.70051080877259,121.32158585866615
170,AIN,-58.064515865569355,43.97162847512257
171,AINV,-57.404022936535846,16.04676145980026
173,AIR,-44.47244358813669,44.326049504079045
177,AIT,-20.299964001871516,70.62769131953533
178,AIV,-68.4210540830939,90.85588885864303
181,AIZ,-60.97297226600201,25.119938107256452
183,AJG,-9.305210800673072,29.19873571021124
184,AJRD,-79.40647495125498,-3.143713226699274
187,AKAM,-31.671643612989858,39.85023981496537
192,AKP,-10.538282288618593,4.552589749812001
193,AKR,-39.20064537222719,26.8518411682574
194,AKRX,-81.03448250089879,330.48780514398135
195,AKS,-51.45809469576632,-18.002077045177682
199,ALB,-26.876696275088413,102.9325514508715
200,ALBO,-66.38418079096046,-44.47439573894559
201,ALCO,-17.4821342045689,4.2310859184514165
204,ALE,-25.65687574129617,24.17549731591898
206,ALG,-31.478262638700294,72.20316182642608
207,ALGN,-22.024535993542248,46.549627201099895
208,ALGT,36.64920623284173,19.705023188858032
210,ALJJ,5.8823560348431165,253.3333002196445
211,ALK,-23.69510960222847,128.5286266099757
212,ALKS,-21.237696209936253,113.54764982787304
213,ALL,-47.82264376187133,11.507938719611627
215,ALLT,-30.000003251162454,405.24866004802533
218,ALNY,-19.746570364246658,-38.031589449557615
219,ALOT,-26.397144238650355,23.90316815362677
221,ALQA,-44.44444444444444,-14.285714285714285
224,ALSK,-46.44846628777796,22.027021845907502
226,ALT,49348.65691427336,3089.149507480563
229,ALV,-40.52213278468809,93.46485894842375
230,ALX,-13.875555995258978,50.94625089366973
231,ALXN,15.99887754896655,114.76390144669273
233,AMAG,-3.202785253529314,-47.89357460376012
234,AMAT,-31.5938684418389,5.8776130253795555
240,AMCN,-55.88235294117647,-49.00849952110281
